@@,itemlabel,item,startdate,enddate
->,Samuel Baldwin Marks Young->Samuel B. M. Young,Q7083474->NULL,1903-08-15,1904-01-08
->,Adna Chaffee,Q2541061,1904-08-19->1904-01-09,1906-01-14
->,William Wallace Wotherspoon->William W. Wotherspoon,Q8019943->NULL,1914-04-22,1914-11-16
+++,John J. Pershing,Q272383,1921-07-01,1924-09-13
+++,John L. Hines,Q6243604,1924-09-14,1926-11-20
+++,Charles P. Summerall,,1926-11-21,1930-11-20
->,George Marshall->George C. Marshall,Q151414,1939-09-01,1945-11-18
+++,Omar Bradley,Q207955,1948-02-07,1949-08-15
+++,J. Lawton Collins,Q301853,1949-08-16,1953-08-14
+++,Matthew B. Ridgway,,1953-08-15,1955-06-29
->,Maxwell Davenport Taylor->Maxwell D. Taylor,Q313972,1955-06-30,1959-06-30
+++,Lyman L. Lemnitzer,,1959-07-01,1960-09-30
->,George Decker->George H. Decker,Q5538468->NULL,1960-10-01,1962-09-30
+++,Earle G. Wheeler,,1962-10-01,1964-07-02
+++,Harold K. Johnson,,1964-07-03,1968-07-02
+++,William C. Westmoreland,,1968-07-03,1972-06-30
+++,Bruce Palmer Jr.,Q4978107,1972-07-01,1972-10-11
+++,Creighton W. Abrams,,1972-10-12,1974-09-04
+++,Frederick C. Weyand,Q368536,1974-10-03,1976-09-30
+++,Bernard W. Rogers,Q822756,1976-10-01,1979-06-21
+++,John A. Wickham Jr.,Q465086,1983-07-23,1987-06-23
+++,Carl E. Vuono,Q5040076,1987-06-23,1991-06-21
+++,Gordon R. Sullivan,Q239649,1991-06-21,1995-06-20
+++,Dennis J. Reimer,,1995-06-20,1999-06-21
->,Eric Shinseki->Eric K. Shinseki,Q373274->NULL,1999-06-21,2003-06-11->2004-07-11
+++,Peter J. Schoomaker,,2004-08-01,2007-04-10
+++,George W. Casey Jr.,Q430701,2007-04-10,2011-04-10
+++,Martin E. Dempsey,,2011-04-11,2011-09-07
+++,Mark A. Milley,Q6766465,2015-08-14,2019-08-09
+++,James C. McConville,Q20707727,2019-08-09,
