item,itemLabel,itemDescription,gender,genderLabel,dob,dobPrecision,dod,dodPrecision
Q179090,Aaron Burr,American Vice President and politician (1756-1836),Q6581097,male,1756-02-06T00:00:00Z,11,1836-09-14T00:00:00Z,11
Q318482,Abel P. Upshur,lawyer and politician (1790-1844),Q6581097,male,1790-06-17T00:00:00Z,11,1844-02-28T00:00:00Z,11
Q323417,Abraham A. Ribicoff,American politician (1910-1998),Q6581097,male,1910-03-09T00:00:00Z,11,1998-02-22T00:00:00Z,11
Q323417,Abraham A. Ribicoff,American politician (1910-1998),Q6581097,male,1910-04-09T00:00:00Z,11,1998-02-22T00:00:00Z,11
Q28514306,Adam Szubin,politician,Q6581097,male,1972-01-01T00:00:00Z,9,,
Q310839,Adlai Stevenson I,U.S. Vice President and Congressman from Illinois (1835-1914),Q6581097,male,1835-10-23T00:00:00Z,11,1914-06-14T00:00:00Z,11
Q365320,Adolph E. Borie,United States merchant; Secretary of the Navy briefly (1809-1880),Q6581097,male,1809-11-25T00:00:00Z,11,1880-02-05T00:00:00Z,11
Q19673,Al Gore,45th Vice President of the United States,Q6581097,male,1948-03-31T00:00:00Z,11,,
Q105320190,Al Stewart,American civil servant,Q6581097,male,1955-01-01T00:00:00Z,9,,
Q382490,Alan Stephenson Boyd,American politician,Q6581097,male,1922-07-20T00:00:00Z,11,2020-10-18T00:00:00Z,11
Q273549,Alben W. Barkley,Vice President of the United States (1877-1956),Q6581097,male,1877-11-24T00:00:00Z,11,1956-04-30T00:00:00Z,11
Q1397640,Albert B. Fall,American politician (1861-1944),Q6581097,male,1861-11-26T00:00:00Z,11,1944-11-30T00:00:00Z,11
Q500046,Albert Gallatin,"Genevan-American ethnologist, linguist, founder of New York University, politician, diplomat, congressman, Senator and the longest-serving United States Secretary of the Treasury (1761-1849)",Q6581097,male,1761-01-29T00:00:00Z,11,1849-08-12T00:00:00Z,11
Q202350,Alberto Gonzales,80th United States Attorney General,Q6581097,male,1955-08-04T00:00:00Z,11,,
Q4714600,Alejandro Mayorkas,American lawyer and government official,Q6581097,male,1959-11-24T00:00:00Z,11,,
Q4716651,Alex Azar,American politician,Q6581097,male,1967-06-17T00:00:00Z,11,,
Q7273452,Alexander Acosta,American attorney and politician,Q6581097,male,1969-01-16T00:00:00Z,11,,
Q107957,Alexander Haig,former U.S. Secretary of State and U.S. Army general (1924-2010),Q6581097,male,1924-12-02T00:00:00Z,11,2010-02-20T00:00:00Z,11
Q178903,Alexander Hamilton,first Secretary of the Treasury and Founding Father of the United States,Q6581097,male,1757-01-11T00:00:00Z,11,1804-07-12T00:00:00Z,11
