item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,ordinal,replaces,replacesLabel,replacedBy,replacedByLabel,nature,natureLabel,source,sourceName,statedName,psid
Q179090,Aaron Burr,Q11699,Vice President of the United States,1801-03-04T00:00:00Z,1805-03-04T00:00:00Z,,,3,Q11812,Thomas Jefferson,Q201646,George Clinton,,,,,,q179090-12ab7abf-47f0-419c-200e-465d6b7b5bc0
Q318482,Abel P. Upshur,Q14213,United States Secretary of State,1843-06-24T00:00:00Z,1843-07-23T00:00:00Z,,,,Q8017924,William S. Derrick,Q318482,Abel P. Upshur,,,,,,Q318482-39b8ae3e-41fe-65f3-d6ee-2016b21f1c67
Q318482,Abel P. Upshur,Q14213,United States Secretary of State,1843-07-23T00:00:00Z,1844-02-28T00:00:00Z,,,15,Q318482,Abel P. Upshur,Q1701201,John Nelson,,,,,,Q318482-5608485c-4132-d8ee-70d5-970e3bab5a47
Q318482,Abel P. Upshur,Q940135,United States Secretary of the Navy,1841-10-11T00:00:00Z,1843-07-23T00:00:00Z,,,,,,,,,,,,,Q318482-b97c1d59-cfe7-415a-bc18-3d79f41cc807
Q323417,Abraham A. Ribicoff,Q3310559,"United States Secretary of Health, Education, and Welfare",1961-01-21T00:00:00Z,1962-07-13T00:00:00Z,,,,Q709371,Arthur Sherwood Flemming,Q359333,Anthony J. Celebrezze,,,,,,Q323417-1ec36e24-47ac-19a7-5575-13cb4d67d364
Q28514306,Adam Szubin,Q4215834,United States Secretary of the Treasury,2017-01-20T00:00:00Z,2017-02-13T00:00:00Z,,,,Q1677579,Jack Lew,Q24248265,Steven Mnuchin,,,,,,Q28514306-6075F661-0BBD-4E2E-BAB4-7F1D2D99DD13
Q310839,Adlai Stevenson I,Q11699,Vice President of the United States,1893-03-04T00:00:00Z,1897-03-04T00:00:00Z,,,23,Q298997,Levi P. Morton,Q310841,Garret Hobart,,,,,,Q310839-F7B4BDA7-A44E-4503-B1BD-716C3CF3D3C0
Q365320,Adolph E. Borie,Q940135,United States Secretary of the Navy,,,,,,,,,,,,,,,Q365320-21a69663-e6a2-4669-97ed-968e5b23c1c4
Q19673,Al Gore,Q11699,Vice President of the United States,1993-01-20T00:00:00Z,2001-01-20T00:00:00Z,,,45,Q49214,Dan Quayle,Q48259,Dick Cheney,,,,,,Q19673-6258e730-4b5d-a126-04ba-2258254821dc
Q105320190,Al Stewart,Q967750,United States Secretary of Labor,2021-01-20T00:00:00Z,2021-03-23T00:00:00Z,,,,Q16875330,Eugene Scalia,Q15126384,Marty Walsh,Q4676846,acting,,,,Q105320190-2ced57a7-42c4-c60c-73da-abd1860e5646
Q382490,Alan Stephenson Boyd,Q967737,United States Secretary of Transportation,1967-01-16T00:00:00Z,1969-01-20T00:00:00Z,,,,,,Q368192,John Anthony Volpe,,,,,,Q382490-807BED88-5A43-4B2E-9F31-FC1B4149B0D7
